comment,date,support_number,user,hateful
听口音不是香港本地人,11月23日 18:43 来自网页    ,1,六里桥夏日,0
节哀！,11月23日 18:43 来自网页    ,0,Caroline沐,0
面对暴力就该以暴制暴//,11月23日 18:41 来自网页    ,0,水果麻麻多Vc,0
那一下砸到了我心里,11月23日 18:41 来自网页    ,0,黄小仙errr,0
请求法制香港，希望暴动及早平息！,11月23日 18:40 来自网页    ,0,一只炽热的火娃早晨平躺在床上,0
南无阿弥陀佛！,11月23日 18:39 来自网页    ,1,清道夫sky,0
他弟弟有点像王劲松老师也 悼念罗伯,11月23日 18:39 来自网页    ,0,直男维特之烦恼,0
哎，看视频真的很心疼,11月23日 18:38 来自网页    ,0,雅洁别睡啦,0
这帮废青可能砸死了自己的父母，也未必会反思,11月23日 18:37 来自网页    ,0,我是超拽无敌小屎壳郎0,0
那些蟑螂有人生没人教[疑問],11月23日 18:36 来自网页    ,0,一叠说明书,0
那些人不配你们以德报怨,11月23日 18:35 来自网页    ,0,M含含含含含,0
罚一字不漏的背初中高中中国历史课本，漏一个字罚坐牢一年,11月23日 18:34 来自网页    ,0,汪仔小小馒头,0
这样的暴徒，香港政府还在容忍过于大度了吧,11月23日 18:34 来自网页    ,0,君君jun李,0
太过分了！,11月23日 18:33 来自网页    ,0,小狮子票务,0
一路走好,11月23日 18:33 来自网页    ,0,我爱你以上啊,0
这真的。以德报怨,11月23日 18:33 来自网页    ,0,DefChenG7,0
看哭了～,11月23日 18:32 来自网页    ,0,请叫我ZhengYajuan,0
